name = TXT_SKELETON
type = WAY_RACE_MODIFIER
race_type = RACE_UNDEAD
tier = 1
baseHp = 0
baseMana = 0
baseShield = 3
baseDamageMult = 0
baseSoulBurn = 0
baseFlow = 0
baseVisionRange = 0
baseVisionPower = 1
baseDetectionRange = 0
hpIncr = 0
manaIncr = 0
shieldIncr = 0
damageMultIncr = 0
soulBurnIncr = 0
flowIncr = 0
size = 0.01
need_to_eat = false
can_eat_food = false
need_to_sleep = false
has_soulspark = false
action_time_modifier = 1.0
strike_time_modifier = 1.0
skill_time_modifier = 1.0
movement_time_modifier = 1.0
loot = TXT_BONE%
effects =
skills =
